frame_id,t_capture_ns,t_estimate_ns,t_control_ns,t_actuate_ns,cap_to_est_ms,est_to_ctrl_ms,ctrl_to_act_ms,total_ms
1,1175657416362,1175659712467,1175659714060,1175659745613,2.2961,0.001593,0.031553,2.32925
2,1175690703504,1175693073197,1175693074864,1175693096566,2.36969,0.001667,0.021702,2.39306
3,1175723749162,1175725896111,1175725898056,1175725915962,2.14695,0.001945,0.017906,2.1668
4,1175757272141,1175759165107,1175759166366,1175759181235,1.89297,0.001259,0.014869,1.90909
5,1175819797823,1175821705270,1175821775617,1175821789079,1.90745,0.070347,0.013462,1.99126
6,1175884989639,1175886998337,1175886999856,1175887016021,2.0087,0.001519,0.016165,2.02638
7,1175950074313,1175952851016,1175952853053,1175952873459,2.7767,0.002037,0.020406,2.79915
8,1176015462615,1176017349859,1176017351692,1176017367413,1.88724,0.001833,0.015721,1.9048
9,1176082154922,1176084049277,1176084051036,1176084066331,1.89436,0.001759,0.015295,1.91141
10,1176148918632,1176150811765,1176150813098,1176150828023,1.89313,0.001333,0.014925,1.90939
11,1176215559276,1176217451298,1176217452649,1176217470019,1.89202,0.001351,0.01737,1.91074
12,1176282267286,1176284133791,1176284134698,1176284147308,1.86651,0.000907,0.01261,1.88002
13,1176348996239,1176350867151,1176350868429,1176350883687,1.87091,0.001278,0.015258,1.88745
14,1176415705712,1176417603178,1176417604289,1176417620602,1.89747,0.001111,0.016313,1.91489
15,1176482443220,1176484330834,1176484332149,1176484345574,1.88761,0.001315,0.013425,1.90235
16,1176549147341,1176551023160,1176551024753,1176551043140,1.87582,0.001593,0.018387,1.8958
17,1176615881424,1176617745021,1176617746021,1176617761298,1.8636,0.001,0.015277,1.87987
18,1176682662725,1176684674479,1176684676275,1176684691552,2.01175,0.001796,0.015277,2.02883
19,1176749326738,1176751245424,1176751246776,1176751262423,1.91869,0.001352,0.015647,1.93569
20,1176816056245,1176817968838,1176817970042,1176817984134,1.91259,0.001204,0.014092,1.92789
21,1176866154789,1176868096585,1176868098548,1176868113972,1.9418,0.001963,0.015424,1.95918
22,1176916218336,1176918140725,1176918141651,1176918157132,1.92239,0.000926,0.015481,1.9388
23,1176962333592,1176964232668,1176964234261,1176964250315,1.89908,0.001593,0.016054,1.91672
24,1177013889632,1177015804596,1177015806040,1177015821113,1.91496,0.001444,0.015073,1.93148
25,1177063954197,1177065884901,1177065886326,1177065899955,1.9307,0.001425,0.013629,1.94576
26,1177114008689,1177115933319,1177115934004,1177115946984,1.92463,0.000685,0.01298,1.9383
